id,mo,day,yr,time,rookery,rkname,island,sex,wgt,tagmark,tagno,sheared,tagged,handled,plen
128,8,30,1957,1400,12,ZAR,1,F,6.2,F,0     N,N,N,N,
129,8,30,1957,1400,12,ZAR,1,F,6.2,F,0     N,N,N,N,
130,8,30,1957,1400,12,ZAR,1,F,9.4,F,0     N,N,N,N,
131,8,30,1957,1400,12,ZAR,1,F,6.1,F,0     N,N,N,N,
132,8,30,1957,1400,12,ZAR,1,F,9.2,F,0     N,N,N,N,
133,8,30,1957,1400,12,ZAR,1,F,7.3,F,0     N,N,N,N,
134,8,30,1957,1400,12,ZAR,1,F,7.4,F,0     N,N,N,N,
135,8,30,1957,1400,12,ZAR,1,F,8.2,F,0     N,N,N,N,
136,8,30,1957,1400,12,ZAR,1,F,5.2,F,0     N,N,N,N,
137,8,30,1957,1400,12,ZAR,1,M,12.2,U,0     N,N,N,N,
138,8,30,1957,1400,12,ZAR,1,M,8.6,F,0     N,N,N,N,
139,8,30,1957,1400,12,ZAR,1,M,10.4,U,0     N,N,N,N,
140,8,30,1957,1400,12,ZAR,1,M,5.3,F,0     N,N,N,N,
141,8,30,1957,1400,12,ZAR,1,M,6.5,U,0     N,N,N,N,
142,8,30,1957,1400,12,ZAR,1,M,6.4,F,0     N,N,N,N,
143,8,30,1957,1400,12,ZAR,1,M,9.3,U,0     N,N,N,N,
144,8,30,1957,1400,12,ZAR,1,M,6.1,F,0     N,N,N,N,
145,8,30,1957,1400,12,ZAR,1,M,9.9,U,0     N,N,N,N,
146,8,30,1957,1400,12,ZAR,1,M,6.6,F,0     N,N,N,N,
147,8,30,1957,1400,12,ZAR,1,M,9.8,U,0     N,N,N,N,
148,8,30,1957,1400,12,ZAR,1,M,7.1,F,0     N,N,N,N,
149,8,30,1957,1400,12,ZAR,1,M,11.1,U,0     N,N,N,N,
150,8,30,1957,1400,12,ZAR,1,M,5.2,F,0     N,N,N,N,
151,8,30,1957,1400,12,ZAR,1,M,11.1,U,0     N,N,N,N,
152,8,30,1957,1400,12,ZAR,1,M,7.7,F,0     N,N,N,N,
153,8,30,1957,1400,12,ZAR,1,M,7.8,U,0     N,N,N,N,
154,8,30,1957,1400,12,ZAR,1,M,12.3,F,0     N,N,N,N,
155,8,30,1957,1400,12,ZAR,1,M,9.6,U,0     N,N,N,N,
156,8,30,1957,1400,12,ZAR,1,M,9.9,F,0     N,N,N,N,
157,8,30,1957,1400,12,ZAR,1,M,8.6,U,0     N,N,N,N,
158,8,30,1957,1400,12,ZAR,1,M,9.1,F,0     N,N,N,N,
159,8,30,1957,1400,12,ZAR,1,M,5.2,U,0     N,N,N,N,
160,8,30,1957,1400,12,ZAR,1,M,6.1,F,0     N,N,N,N,
161,8,30,1957,1400,12,ZAR,1,M,7.1,U,0     N,N,N,N,
162,8,30,1957,1400,12,ZAR,1,M,12.3,F,0     N,N,N,N,
163,8,30,1957,1400,12,ZAR,1,M,6.3,U,0     N,N,N,N,
164,8,30,1957,1400,12,ZAR,1,M,6.7,F,0     N,N,N,N,
165,8,30,1957,1400,12,ZAR,1,M,6.5,U,0     N,N,N,N,
166,8,30,1957,1400,12,ZAR,1,M,8.6,F,0     N,N,N,N,
167,8,30,1957,1400,12,ZAR,1,M,8.2,U,0     N,N,N,N,
168,8,30,1957,1400,12,ZAR,1,M,9.3,F,0     N,N,N,N,
169,8,30,1957,1400,12,ZAR,1,M,5.6,U,0     N,N,N,N,
170,8,30,1957,1400,12,ZAR,1,M,5.8,F,0     N,N,N,N,
171,8,30,1957,1400,12,ZAR,1,M,7.2,U,0     N,N,N,N,
172,8,30,1957,1400,12,ZAR,1,M,7.5,F,0     N,N,N,N,
173,8,30,1957,1400,12,ZAR,1,M,7.5,U,0     N,N,N,N,
174,8,30,1957,1400,12,ZAR,1,M,11,F,0     N,N,N,N,
175,8,30,1957,1400,12,ZAR,1,M,8.5,U,0     N,N,N,N,
